Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Albania,"Gross domestic product, constant prices",Percent change,,"Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996",6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.071,2.214,-5.006,8,2018
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996",12.908,14.285,15.169,16.305,17.668,19.225,20.976,22.828,25.017,26.054,27.334,28.616,29.578,30.398,31.51,32.545,33.972,35.928,38.301,39.832,38.078,41.926,2018
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996",7.63,9.314,4.851,5.924,5.957,6.068,6.573,6.787,8.328,4.053,4.223,2.822,1.585,1.187,1.985,2.517,3.48,3.898,4.328,2.095,-4.854,8.173,2018
Albania,"Inflation, average consumer prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Frequency of source data: Monthly Base year: 2015",0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.282,1.987,2.029,1.411,2.39,2.75,2019
Albania,"Inflation, end of period consumer prices",Percent change,,"Source: National Statistics Office Latest actual data: 2019 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Frequency of source data: Monthly Base year: 2015",4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.176,1.798,1.799,1.15,2.6,2.9,2019
Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 04/2020,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,12,11.8,11.5,2019
Albania,General government net lending/borrowing,Percent of GDP,,"Source: IMF Staff Estimates Latest actual data: 2018 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government; Local Government; Social Security Funds; Monetary Public Corporations, incl. central bank; Nonfinancial Public Corporation; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Other Accounts Receivable/Payable",-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.054,-1.762,-1.392,-1.346,-1.957,-5.393,-3.066,2018
Albania,Current account balance,Percent of GDP,,"Source: Central Bank Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6). Starting  with the year 2013 data are provided by the authorities in BPM6. Data for prior years are converted by the staff from BPM5.",-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.758,-7.621,-11.226,-8.11,2018
Belarus,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005",5.76,4.725,5.045,7.043,11.45,9.441,9.998,8.647,10.248,0.164,7.75,5.55,1.708,0.999,1.651,-3.83,-2.526,2.532,3.149,1.222,-5.992,3.487,2018
Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005",60.028,64.243,68.552,74.743,85.543,96.535,109.4,122.054,137.179,138.451,150.919,162.623,168.573,173.244,179.363,174.29,171.646,179.307,189.46,195.119,184.593,194.755,2018
Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005",6.067,5.073,5.649,7.795,12.226,10.186,10.763,9.226,10.676,0.458,7.909,5.761,1.88,1.009,1.608,-3.961,-2.701,2.457,3.29,1.404,-5.519,4.007,2018
Belarus,"Inflation, average consumer prices",Percent change,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2005",168.601,61.133,42.568,28.398,18.094,10.336,6.992,8.429,14.828,12.95,7.743,53.228,59.218,18.303,18.107,13.523,11.829,6.032,4.867,5.6,5.608,5.593,2019
Belarus,"Inflation, end of period consumer prices",Percent change,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2005",107.495,46.121,34.792,25.373,14.44,7.94,6.62,12.072,13.3,10.113,9.927,108.686,21.778,16.466,16.22,11.97,10.576,4.59,5.642,4.73,6.532,4.941,2019
Belarus,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Employment type: National definition Primary domestic currency: Belarusian rubel Data last updated: 04/2020",2.115,2.257,2.652,3.135,2.522,1.704,1.416,1.063,0.94,0.901,0.827,0.668,0.614,0.508,0.488,0.912,1.017,0.768,0.428,0.308,2.322,1.829,2018
Belarus,General government net lending/borrowing,Percent of GDP,,"Source: Ministry of Finance or Treasury Latest actual data: 2018 Notes: The overall fiscal balance includes off balance sheet items. General government debt includes guarantees. Up to 2018, external public debt includes SDRs holdings and allocations, thereafter these are reclassified as NBRB external debt based on the internal agreement. Current WEO projections for Belarus are based on information provided by the authorities on a bilateral oil price deal with Russia that is being negotiated but is not yet formally signed. Fiscal assumptions: IMF staff projections. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Social Security Funds; Valuation of public debt: Nominal value. Includes general government and off-balance sheet operations. Instruments included in gross and net debt: Securities Other than Shares; Loans; Other;. Includes government guarantees as other.",n/a,-4.901,-8.073,-6.969,-7.304,-6.934,-7.967,-8.087,-11.275,-7.232,-4.187,-2.806,0.36,-0.982,0.092,-2.964,-1.659,-0.337,1.813,0.626,-4.632,-2.999,2018
Belarus,Current account balance,Percent of GDP,,"Source: Central Bank. Formally, the National Bank of the Republic of Belarus Latest actual data: 2018 Notes: Projections are based on information provided by the authorities on a bilateral oil price deal with Russia that is being negotiated but is not yet formally signed. BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6)",-3.599,-4.257,-2.223,-2.561,-5.151,1.518,-3.755,-6.654,-8.163,-12.059,-14.471,-8.233,-2.836,-10.023,-6.64,-3.251,-3.379,-1.74,0.04,-1.848,-2.932,-2.508,2018
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",4.442,2.362,5.053,3.858,6.257,4.236,5.691,5.979,5.594,-0.816,0.767,0.908,-0.707,2.351,1.15,3.074,3.215,3.114,3.624,2.7,-5,3.5,2018
